OBJECTID	ADDRESS	CROSSST	SITEDETAIL	SPACELENG	STSIDE	CURBQUAL	POSTID	LASTFIELDC	MTAB_DATE	MTAB_MOTION	GLOBALID	MTAB_RESO_TEXT	shape	Neighborhoods	SF Find Neighborhoods	Current Police Districts	Current Supervisor Districts	Analysis Neighborhoods
851				0									POINT (-122.39873 37.741066)	85	85	2	9	1
791	402 Merchant St	Battery	Battery to 20' west	20	N								POINT (-122.40058 37.795452)	108	108	6	3	6
592	FUNSTON AVE	Lake	NW corner of intersection	0	W		762-00130	20110324000000					POINT (-122.47225 37.786453)	4	4	8	6	11
376	2nd St. & Townsend Street	Townsend Street	from 15 feet to 35 feet south of Townsend Street (enacted 8/18/2015)	20	West								POINT (-122.390396 37.7804)	31	31	1	10	4
773	1001 Webster St	Golden Gate	44' to 66' north of Golden Gate on Webster	22	W								POINT (-122.430405 37.77986)	97	97	4	11	39
108	1410 Irving St	15th Ave	first angled stall west of 15th Ave	12	N	good		19960724000000					POINT (-122.47298 37.763817)	109	109	10	11	14
623	12th Street & Market Street	Market Street	from 3 feet to 12 feet south of Market St (enacted 9/15/2015)	9	West								POINT (-122.42011 37.774174)	32	32	1	10	20
270	1602 Stockton St	Union	0' to 18' north of Union	18	E			19950612000000					POINT (-122.409134 37.80059)	106	106	6	3	23
803	3495 25th Street	Valencia	BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – “3495” 25th Street, south side, from 9 feet to 27 feet east of Valencia Street	18	S				20171003000000	171003-122		A. ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – “3495” 25th Street, south side, from 9 feet to 27 feet east of Valencia Street,.	POINT (-122.42046 37.750496)	53	53	3	2	20
499				0									POINT (-122.46827 37.772564)	9	9	8	4	12
90	101 Grove St	Polk	14' to 58' west of Polk	44	S	good		19920410000000					POINT (-122.41827 37.77824)	21	21	4	10	36
