permit_number	streetname	Cross Street 1	Cross Street 2	Permit Type	Agent	AgentPhone	Permit Purpose	Approved Date	Status	cnn	permit_zipcode	permit_start_date	permit_end_date	permit_address	24/7 Contact	Inspector	CurbRampWork	X	Y	Latitude	Longitude	Location
19IE-00318	OTIS ST	12TH ST \ MISSION ST \ SOUTH VAN NESS AVE	BRADY ST	StrtImprov	Tim Rooney	909-800-3380	Remove and reconstruct sidewalk and concrete gutter/parking strip to City Standard and per approved plan, saw-cut 2’ of AC gutter for pavement conform. Field inspection MANDATORY prior to excavation and pouring concrete, Call 1-628-271-3000 to schedule. Any additional paving as directed by SFPW/BSM inspector. This permit is in conjunction with a vault permit.	05/18/2021	APPROVED	10046000	94103		09/09/2022	42 OTIS ST	Refer to Agent			6006910.23059	2109442.08101	37.77251649669736	-122.41950059455745	(37.77251649669736, -122.41950059455745)
22EXC-01582	MANSELL ST	GIRARD ST	BRUSSELS ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8666101	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011441.005	2090601.449	37.72103837006324	-122.40250302679343	(37.72103837006324, -122.40250302679343)
21PKT-00095	CALIFORNIA ST	LAUREL ST	LOCUST ST	Parklet	Super Duper	(860) 235-5691	PRE-APPROVAL FOR LEGISLATED PROGRAM: Shared Spaces Fixed Commercial Parklet occupying approximately 44 linear feet in the roadway at 3401 CALIFORNIA ST, on WEST side of LAUREL ST, from 30 feet to 74 feet NORTH of MAYFAIR DR. Times of operation: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday between the hours of 10:00 AM and 10:00 PM.	05/13/2022	APPROVED	3568000	94118	05/13/2022	03/31/2023	3401 CALIFORNIA ST	(860) 235-5691			5998128.25384	2114758.45354	37.78661530899216	-122.45026148101012	(37.78661530899216, -122.45026148101012)
16WR-0356	EDDY ST	TAYLOR ST	JONES ST	Wireless	ExteNet Systems, Inc.	415-377-7826		10/05/2017	APPROVED	5060000	94102	10/05/2017	07/31/2028	233 EDDY ST	Joseph Camicia, 415-722-1183			6009281.45529	2113553.90575	37.78393987085993	-122.41158882655836	(37.78393987085993, -122.41158882655836)
21EXC-05019	BUSH ST	MASON ST		Excavation	R & S Construction Management Inc	(415) 746-9564	#1000015027 PW Various Locations Pavement Renovation and Sewer Replacement No. 51	11/19/2021	ACTIVE	24949000		11/29/2021	12/31/2022		415-746-9564			6009660.01463	2115735.56479	37.789951410449795	-122.41043324564936	(37.789951410449795, -122.41043324564936)
22EXC-01582	BRUSSELS ST	MANSELL ST		Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	20585000		04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011287.27818	2090598.94227	37.721022890805955	-122.4030342415841	(37.721022890805955, -122.4030342415841)
22EXC-01582	BRUSSELS ST	MANSELL ST	ORDWAY ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	3270000	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011348.2185	2090397.37306	37.72047282576488	-122.40280941872221	(37.72047282576488, -122.40280941872221)
22EXC-01582	MANSELL ST	SALINAS AVE \ SAN BRUNO AVE	GIRARD ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8665101	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011725.616	2090688.361	37.7212928992291	-122.40152530815814	(37.7212928992291, -122.40152530815814)
22EXC-01582	MANSELL ST	GIRARD ST	BRUSSELS ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8666201	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011416.066	2090682.708	37.72126009915671	-122.40259494516405	(37.72126009915671, -122.40259494516405)
22EXC-01582	GIRARD ST	OLMSTEAD ST	MANSELL ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	6203000	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011497.4217	2090923.48468	37.72192575063339	-122.40233064065833	(37.72192575063339, -122.40233064065833)
21MFF-00091	HOWARD ST	MALDEN ALY	02ND ST	FoodFac	Treats by the Bay LLC	415-326-3175		10/22/2021	APPROVED	7034000	94105	10/22/2021	11/15/2022	201 02ND ST	Refer to Agent			6013245.34565	2114482.30613	37.78671059337859	-122.39794027770867	(37.78671059337859, -122.39794027770867)
22EXC-01582	MANSELL ST	BRUSSELS ST	GOETTINGEN ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8667201	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011131.6	2090595.84	37.721005690929836	-122.4035721615221	(37.721005690929836, -122.4035721615221)
22EXC-01582	GIRARD ST	MANSELL ST	ORDWAY ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	6204000	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011633.86183	2090485.06471	37.72072955430657	-122.4018281964999	(37.72072955430657, -122.4018281964999)
22EXC-01582	GIRARD ST	MANSELL ST		Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	20572000		04/08/2022	08/05/2022		415-740-9128	Ben Volberding	true	6011571.905	2090685.859	37.721277436607764	-122.40205647219813	(37.721277436607764, -122.40205647219813)
22EXC-01582	MANSELL ST	SALINAS AVE \ SAN BRUNO AVE	GIRARD ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8665201	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011700.345	2090769.519	37.72151433207603	-122.40161836440855	(37.72151433207603, -122.40161836440855)
22EXC-03073	ROSELYN TER	TURK BLVD	GOLDEN GATE AVE	Excavation	CableCom	650-520-7091	2601 Turk Blvd	06/21/2022	APPROVED	11155000	94118	06/27/2022	07/25/2022	2601 TURK BLVD	650-544-4467	Jondelle Bretz		5998173.83746	2111661.34332	37.77811406330742	-122.44988048591894	(37.77811406330742, -122.44988048591894)
22EXC-01582	MANSELL ST	BRUSSELS ST	GOETTINGEN ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	8667101	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011156.603	2090514.6	37.720784020524796	-122.40348001808806	(37.720784020524796, -122.40348001808806)
22EXC-01582	BRUSSELS ST	OLMSTEAD ST	MANSELL ST	Excavation	Michael O'Shaugnessy Construction Inc.	415-909-0742	CURB RAMPS #14 VARIOUS LOCATION	04/08/2022	APPROVED	3269000	94134	04/08/2022	08/05/2022		415-740-9128	Ben Volberding		6011214.05089	2090836.95009	37.72167232192832	-122.40330410274761	(37.72167232192832, -122.40330410274761)
21EXC-04653	HEYMAN AVE	PROSPECT AVE		Excavation	Cratus, Inc.	(415)939-2840	8-Inch DIP and 24-Inch ERDIP Water Main Installation On Prospect, Fair And Coso Avenues, And Coleridge Street (WD-2718)	02/14/2022	APPROVED	21316000		02/28/2022	11/24/2023		(800)850-1874	Rich Rozzi	true	6006591.38783	2098273.99023	37.74183354035757	-122.41981090268773	(37.74183354035757, -122.41981090268773)
22SC-00304	RANDALL ST	CHURCH ST	WHITNEY ST	StorCont	PODS, Inc	510 504 6731		05/26/2022	APPROVED	10911000	94131	06/23/2022	06/25/2022	160 RANDALL ST	925-596-4153			6004495.73914	2097573.0345	37.73979059459608	-122.42700705970178	(37.73979059459608, -122.42700705970178)
22EXC-03058	OCTAVIA ST	HAYES ST	IVY ST	Excavation	Pacific Bell Telephone Company	916 747-2400	A029Y3T, 445 OCTAVIA ST	06/22/2022	APPROVED	9884000	94102	06/27/2022	07/25/2022		JIM BORICCHIO - (925) 426-3231	Marc Anthony Bura		6005450.065	2111064.715	37.77688951716157	-122.42466690799904	(37.77688951716157, -122.42466690799904)
22EXC-03046	BARCELONA AVE	ANZAVISTA AVE	TERRA VISTA AVE	Excavation	Pacific Gas & Electric	415-695-3500	Anza Vista - GPRP - 35095323	06/22/2022	APPROVED	2725000	94115	08/13/2022	11/18/2022		415-695-3500	Jondelle Bretz		5999725.789	2112408.445	37.78025410319855	-122.44456545160371	(37.78025410319855, -122.44456545160371)
22TOC-03710	KIRKHAM ST	07TH AVE	08TH AVE	TempOccup	The Professional Tree Care Company	510-549-3954 Ext. 410		06/22/2022	APPROVED	7845000	94122	06/28/2022	07/12/2022		Kirby Koepke 510-549-3954			5993829.53042	2105294.14345	37.760381889682584	-122.46444647293409	(37.760381889682584, -122.46444647293409)
18IE-0645	FELL ST	BRODERICK ST	BAKER ST	StrtImprov	S & H Concrete Construction	415-760-8090	Remove curb and construct new (10’) driveway curb cut per approved plan.  Additional paving as required and directed by SFPW/BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, Call 1-628-271-2000 or email dpw-bsminspects@sfdpw.org  to schedule.	03/28/2022	APPROVED	5452000	94117		09/15/2022	1342 FELL ST	925-858-6802			6000983.97385	2110063.7792	37.77388794203705	-122.44004464970305	(37.77388794203705, -122.44004464970305)
22EXC-01253	HOLLOWAY AVE	RALSTON ST	ALVISO ST	Excavation	Pacific Gas & Electric	415-695-3500	PM 35194064 // R3 G GPRP RPL GARFIELD & MONTICELLO SF	03/10/2022	ACTIVE	6985000	94132	04/11/2022	12/30/2022		4156953500	Jonjo Diase		5992113.51199	2091222.97274	37.72164696408213	-122.46935709314582	(37.72164696408213, -122.46935709314582)
22EXC-02750	SCOTT ST	POST ST	SUTTER ST	Excavation	CableCom	650-520-7091	2180 Post St.	06/06/2022	APPROVED	11699000	94115	06/08/2022	07/06/2022	2180 POST ST	650-544-4467	Jondelle Bretz		6001939.59858	2114066.85584	37.78493373647279	-122.43702564462482	(37.78493373647279, -122.43702564462482)
21MFF-00106	TAYLOR ST	BAY ST	NORTH POINT ST	FoodFac	Datam SF LLC dba Anzu To You	415-394-1163		11/05/2021	APPROVED	12463000	94133	11/05/2021	11/15/2022	2535 TAYLOR ST	415-394-1163			6008161.90241	2121549.79462	37.80583174242475	-122.41602851934009	(37.80583174242475, -122.41602851934009)
22PKT-00103	HAIGHT ST	ASHBURY ST	CLAYTON ST	Parklet	HAIGHT STREET MARKET	(415) 279-5922	A 39' LONG PARKLET CONSISTING OF 2'x4' WOOD FRAMING WITH A SLIP RESISTANT AND ACCESSIBLE CONCRETE PAD ON TOP OF A SLIP SHEET,  RED CEDAR SLAT BACK WITH 1/4in STEEL RODS FENCING AND BENCHES, FOUR (4) STEEL PLANTERS AND 4'x6' OPENING AT NEAR THE FACE OF CURB TO ALLOW FOR DRAINAGE USED BY THE GENERAL PUBLIC FRONTING THE SUBJECT BUSINESS.	03/28/2022	APPROVED	6619000	94117	03/28/2022	02/16/2023	1530 HAIGHT ST	Refer to Agent	Lifang Zhang		5998785.9415	2108707.47877	37.77003851165004	-122.44755032423666	(37.77003851165004, -122.44755032423666)
20TC-01339	24TH ST	TREAT AVE	LUCKY ST	TableChair	Evolved SF	(415) 573-9576	Shared Spaces Program. Occupancy of parking lane fronting permitting business only.	12/29/2020	APPROVED	1338000	94110	09/08/2020	06/30/2022	3067 24TH ST	(415) 573-9576	Ariel Garcia		6008569.16273	2102092.32969	37.75242907030931	-122.41324233176206	(37.75242907030931, -122.41324233176206)
20WR-00048	MISSION ST	POPE ST	ALLISON ST	Wireless	MODUS, INC	510-206-1674		11/09/2020	APPROVED	9181000	94112	11/09/2020	08/31/2031	5286 MISSION ST	Refer to Agent			5999796.56579	2088573.69095	37.714813639932814	-122.44260878098709	(37.714813639932814, -122.44260878098709)
